Status,RefDes,Qty,LCSC,BOM_Comment,LCSC_Package,LCSC_Describe,Matched,Issues,FallbackNote
OK,C5,1,C12530,2.2uF,0402,2.2uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,U4,1,C128401,TPS25200DRVR,,-40℃~+125℃ 2.5A 2.5V~6.5V 70mΩ Active High High Side Switch Over Voltage Protection WSON-6-EP(2x2) Power Distribution Switches ROHS,model/brand,,
OK,U6,1,C14879,MCP73831,,-40℃~+85℃ 1 100nA 3.75V~6V 4.2V Charging IC Lithium-ion/Polymer SOT-23-5 Battery Management ROHS,model/brand,,
OK,U15,1,C15134,LIS3DH,,"-40℃~+85℃ 1.71V~3.6V 16bit 500nA SPI X,Y,Z ±16g 加速度计 LGA-16(3x3) Accelerometers ROHS",model/brand,,
OK,C19,1,C15195,10nF,0402,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,"C11,C12,C20,C22,C29,C31,C4",7,C1525,100nF,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,"C1,C14,C7",3,C15525,10uF,0402,10uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,"C24,C25",2,C1555,22pF,0402,22pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,capacitance,,
OK,Q1,1,C172433,LP0404N3T5G,,"1 P-Channel 1.2V@250uA 1.4A 152pF 18.5pF 2.2Ω@1.5V,100mA 2.8nC@4.5V 20V 6pF P-Channel SOT-883-3 MOSFETs ROHS",model/brand,,
OK,D2,1,C193402,SMF5.0A,,-55℃~+150℃ 200W@10/1000us 21.7A@10/1000us 400uA 5V 7V 9.2V TVS Unidirectional SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS,model/brand,,
OK,"R13,R14",2,C25092,22,0402,-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,model/brand,,
